case_id,worker_count,lock_mode,id,job_type,status,created_at,enqueued_at,dequeued_at,completed_at,failed_at,latency_ms
2,1,FOR UPDATE,46,noop,completed,2026-02-22T00:39:06.040549Z,2026-02-22T00:39:06.040549Z,2026-02-22T00:40:08.597887Z,2026-02-22T00:40:08.954311Z,,62557.338
2,1,FOR UPDATE,47,noop,completed,2026-02-22T00:39:06.043382Z,2026-02-22T00:39:06.043382Z,2026-02-22T00:40:08.959239Z,2026-02-22T00:40:09.317049Z,,62915.857
2,1,FOR UPDATE,48,noop,completed,2026-02-22T00:39:06.046326Z,2026-02-22T00:39:06.046326Z,2026-02-22T00:40:09.3227Z,2026-02-22T00:40:09.681239Z,,63276.374
2,1,FOR UPDATE,49,noop,completed,2026-02-22T00:39:06.052369Z,2026-02-22T00:39:06.052369Z,2026-02-22T00:40:09.68695Z,2026-02-22T00:40:10.046101Z,,63634.581
2,1,FOR UPDATE,50,noop,completed,2026-02-22T00:39:06.054612Z,2026-02-22T00:39:06.054612Z,2026-02-22T00:40:10.052047Z,2026-02-22T00:40:10.409875Z,,63997.435
2,1,FOR UPDATE,51,noop,completed,2026-02-22T00:39:06.0566Z,2026-02-22T00:39:06.0566Z,2026-02-22T00:40:10.416043Z,2026-02-22T00:40:10.774786Z,,64359.443
2,1,FOR UPDATE,52,noop,completed,2026-02-22T00:39:06.059074Z,2026-02-22T00:39:06.059074Z,2026-02-22T00:40:10.779948Z,2026-02-22T00:40:11.13885Z,,64720.874
2,1,FOR UPDATE,53,noop,completed,2026-02-22T00:39:06.061442Z,2026-02-22T00:39:06.061442Z,2026-02-22T00:40:11.144278Z,2026-02-22T00:40:11.503884Z,,65082.836
2,1,FOR UPDATE,54,noop,completed,2026-02-22T00:39:06.063745Z,2026-02-22T00:39:06.063745Z,2026-02-22T00:40:11.512227Z,2026-02-22T00:40:11.870028Z,,65448.482
2,1,FOR UPDATE,55,noop,completed,2026-02-22T00:39:06.065984Z,2026-02-22T00:39:06.065984Z,2026-02-22T00:40:11.874822Z,2026-02-22T00:40:12.232408Z,,65808.838
2,1,FOR UPDATE,56,noop,completed,2026-02-22T00:39:06.068776Z,2026-02-22T00:39:06.068776Z,2026-02-22T00:40:12.237655Z,2026-02-22T00:40:12.59656Z,,66168.879
2,1,FOR UPDATE,57,noop,completed,2026-02-22T00:39:06.0715Z,2026-02-22T00:39:06.0715Z,2026-02-22T00:40:12.603722Z,2026-02-22T00:40:12.962303Z,,66532.222
2,1,FOR UPDATE,58,noop,completed,2026-02-22T00:39:06.074206Z,2026-02-22T00:39:06.074206Z,2026-02-22T00:40:12.968543Z,2026-02-22T00:40:13.326813Z,,66894.337
2,1,FOR UPDATE,59,noop,completed,2026-02-22T00:39:06.076949Z,2026-02-22T00:39:06.076949Z,2026-02-22T00:40:13.333074Z,2026-02-22T00:40:13.693763Z,,67256.125
2,1,FOR UPDATE,60,noop,completed,2026-02-22T00:39:06.082369Z,2026-02-22T00:39:06.082369Z,2026-02-22T00:40:13.699673Z,2026-02-22T00:40:14.057497Z,,67617.304
2,1,FOR UPDATE,61,noop,completed,2026-02-22T00:39:06.084652Z,2026-02-22T00:39:06.084652Z,2026-02-22T00:40:14.062237Z,2026-02-22T00:40:14.420803Z,,67977.585
2,1,FOR UPDATE,62,noop,completed,2026-02-22T00:39:06.086895Z,2026-02-22T00:39:06.086895Z,2026-02-22T00:40:14.425945Z,2026-02-22T00:40:14.783846Z,,68339.050
2,1,FOR UPDATE,63,noop,completed,2026-02-22T00:39:06.088994Z,2026-02-22T00:39:06.088994Z,2026-02-22T00:40:14.792942Z,2026-02-22T00:40:15.151367Z,,68703.948
2,1,FOR UPDATE,64,noop,completed,2026-02-22T00:39:06.091534Z,2026-02-22T00:39:06.091534Z,2026-02-22T00:40:15.157349Z,2026-02-22T00:40:15.516491Z,,69065.815
2,1,FOR UPDATE,65,noop,completed,2026-02-22T00:39:06.093952Z,2026-02-22T00:39:06.093952Z,2026-02-22T00:40:15.522291Z,2026-02-22T00:40:15.88016Z,,69428.339
2,1,FOR UPDATE,66,noop,completed,2026-02-22T00:39:06.096268Z,2026-02-22T00:39:06.096268Z,2026-02-22T00:40:15.885792Z,2026-02-22T00:40:16.24421Z,,69789.524
2,1,FOR UPDATE,67,noop,completed,2026-02-22T00:39:06.099088Z,2026-02-22T00:39:06.099088Z,2026-02-22T00:40:16.249816Z,2026-02-22T00:40:16.608636Z,,70150.728
2,1,FOR UPDATE,68,noop,completed,2026-02-22T00:39:06.101922Z,2026-02-22T00:39:06.101922Z,2026-02-22T00:40:16.614825Z,2026-02-22T00:40:16.971871Z,,70512.903
