case_id,worker_mode,label,polling_interval_ms,lottery,notify_winners,worker_count,dequeue_calls,dequeue_empty,id,payload_name,job_type,status,created_at,enqueued_at,dequeued_at,completed_at,failed_at,latency_ms
2,polling,polling_50ms,50,0,0,4,19747,18747,181011,job-10,noop,completed,2026-02-22T01:05:27.47292Z,2026-02-22T01:05:27.47292Z,2026-02-22T01:05:27.506228Z,2026-02-22T01:05:27.510942Z,,33.308
2,polling,polling_50ms,50,0,0,4,19747,18747,181012,job-11,noop,completed,2026-02-22T01:05:27.726857Z,2026-02-22T01:05:27.726857Z,2026-02-22T01:05:27.732108Z,2026-02-22T01:05:27.737541Z,,5.251
2,polling,polling_50ms,50,0,0,4,19747,18747,181013,job-12,noop,completed,2026-02-22T01:05:27.981888Z,2026-02-22T01:05:27.981888Z,2026-02-22T01:05:27.989807Z,2026-02-22T01:05:27.995653Z,,7.919
2,polling,polling_50ms,50,0,0,4,19747,18747,181014,job-13,noop,completed,2026-02-22T01:05:28.240372Z,2026-02-22T01:05:28.240372Z,2026-02-22T01:05:28.271467Z,2026-02-22T01:05:28.277031Z,,31.095
2,polling,polling_50ms,50,0,0,4,19747,18747,181015,job-14,noop,completed,2026-02-22T01:05:28.494382Z,2026-02-22T01:05:28.494382Z,2026-02-22T01:05:28.540831Z,2026-02-22T01:05:28.54708Z,,46.449
2,polling,polling_50ms,50,0,0,4,19747,18747,181016,job-15,noop,completed,2026-02-22T01:05:28.749077Z,2026-02-22T01:05:28.749077Z,2026-02-22T01:05:28.757072Z,2026-02-22T01:05:28.764525Z,,7.995
2,polling,polling_50ms,50,0,0,4,19747,18747,181017,job-16,noop,completed,2026-02-22T01:05:29.003721Z,2026-02-22T01:05:29.003721Z,2026-02-22T01:05:29.030393Z,2026-02-22T01:05:29.037517Z,,26.672
2,polling,polling_50ms,50,0,0,4,19747,18747,181018,job-17,noop,completed,2026-02-22T01:05:29.258585Z,2026-02-22T01:05:29.258585Z,2026-02-22T01:05:29.298816Z,2026-02-22T01:05:29.304021Z,,40.231
2,polling,polling_50ms,50,0,0,4,19747,18747,181019,job-18,noop,completed,2026-02-22T01:05:29.512731Z,2026-02-22T01:05:29.512731Z,2026-02-22T01:05:29.522254Z,2026-02-22T01:05:29.526904Z,,9.523
2,polling,polling_50ms,50,0,0,4,19747,18747,181020,job-19,noop,completed,2026-02-22T01:05:29.766946Z,2026-02-22T01:05:29.766946Z,2026-02-22T01:05:29.780478Z,2026-02-22T01:05:29.784911Z,,13.532
2,polling,polling_50ms,50,0,0,4,19747,18747,181021,job-20,noop,completed,2026-02-22T01:05:30.021396Z,2026-02-22T01:05:30.021396Z,2026-02-22T01:05:30.047226Z,2026-02-22T01:05:30.051432Z,,25.830
2,polling,polling_50ms,50,0,0,4,19747,18747,181022,job-21,noop,completed,2026-02-22T01:05:30.281889Z,2026-02-22T01:05:30.281889Z,2026-02-22T01:05:30.319498Z,2026-02-22T01:05:30.324422Z,,37.609
2,polling,polling_50ms,50,0,0,4,19747,18747,181023,job-22,noop,completed,2026-02-22T01:05:30.536442Z,2026-02-22T01:05:30.536442Z,2026-02-22T01:05:30.54191Z,2026-02-22T01:05:30.548968Z,,5.468
2,polling,polling_50ms,50,0,0,4,19747,18747,181024,job-23,noop,completed,2026-02-22T01:05:30.791272Z,2026-02-22T01:05:30.791272Z,2026-02-22T01:05:30.809171Z,2026-02-22T01:05:30.818083Z,,17.899
