case_id,worker_count,lock_mode,timestamp,timestamp_ms,workers_idle,workers_fetching,workers_processing
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:22.985129276Z,1771721902985,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.085419083Z,1771721903085,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.185774408Z,1771721903185,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.286168474Z,1771721903286,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.386451243Z,1771721903386,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.486791272Z,1771721903486,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.587154671Z,1771721903587,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.687442607Z,1771721903687,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.787751654Z,1771721903787,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.888046961Z,1771721903888,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:23.988461952Z,1771721903988,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.088752629Z,1771721904088,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.189091508Z,1771721904189,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.289465739Z,1771721904289,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.38973534Z,1771721904389,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.490027701Z,1771721904490,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.590322024Z,1771721904590,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.690634607Z,1771721904690,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.790926764Z,1771721904790,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.891240032Z,1771721904891,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:24.991575856Z,1771721904991,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.091879456Z,1771721905091,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.192232001Z,1771721905192,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.292597971Z,1771721905292,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.392870256Z,1771721905392,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.493158708Z,1771721905493,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.593529863Z,1771721905593,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.693832278Z,1771721905693,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.794147749Z,1771721905794,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.894498126Z,1771721905894,0,0,32
