case_label,total_jobs,completed_jobs,failed_jobs,lost_jobs,job_id,payload_name,job_type,status,attempts,last_error,created_at,enqueued_at,dequeued_at,completed_at,failed_at
no_outage_error_rate_0,100,100,0,0,204063,job-59,noop,completed,1,,2026-02-22T02:09:06.10185Z,2026-02-22T02:09:06.10185Z,2026-02-22T02:09:12.750239Z,2026-02-22T02:09:13.556961Z,
no_outage_error_rate_0,100,100,0,0,204064,job-60,noop,completed,1,,2026-02-22T02:09:06.105311Z,2026-02-22T02:09:06.105311Z,2026-02-22T02:09:12.751287Z,2026-02-22T02:09:13.558651Z,
no_outage_error_rate_0,100,100,0,0,204065,job-61,noop,completed,1,,2026-02-22T02:09:06.111496Z,2026-02-22T02:09:06.111496Z,2026-02-22T02:09:12.759516Z,2026-02-22T02:09:13.57132Z,
no_outage_error_rate_0,100,100,0,0,204066,job-62,noop,completed,1,,2026-02-22T02:09:06.114157Z,2026-02-22T02:09:06.114157Z,2026-02-22T02:09:12.761506Z,2026-02-22T02:09:13.568649Z,
no_outage_error_rate_0,100,100,0,0,204067,job-63,noop,completed,1,,2026-02-22T02:09:06.116755Z,2026-02-22T02:09:06.116755Z,2026-02-22T02:09:12.7714Z,2026-02-22T02:09:13.581816Z,
no_outage_error_rate_0,100,100,0,0,204068,job-64,noop,completed,1,,2026-02-22T02:09:06.120364Z,2026-02-22T02:09:06.120364Z,2026-02-22T02:09:12.784694Z,2026-02-22T02:09:13.592432Z,
no_outage_error_rate_0,100,100,0,0,204069,job-65,noop,completed,1,,2026-02-22T02:09:06.12329Z,2026-02-22T02:09:06.12329Z,2026-02-22T02:09:12.787397Z,2026-02-22T02:09:13.595676Z,
no_outage_error_rate_0,100,100,0,0,204070,job-66,noop,completed,1,,2026-02-22T02:09:06.126465Z,2026-02-22T02:09:06.126465Z,2026-02-22T02:09:12.789271Z,2026-02-22T02:09:13.596921Z,
no_outage_error_rate_0,100,100,0,0,204071,job-67,noop,completed,1,,2026-02-22T02:09:06.129473Z,2026-02-22T02:09:06.129473Z,2026-02-22T02:09:13.562994Z,2026-02-22T02:09:14.371174Z,
no_outage_error_rate_0,100,100,0,0,204072,job-68,noop,completed,1,,2026-02-22T02:09:06.133154Z,2026-02-22T02:09:06.133154Z,2026-02-22T02:09:13.564616Z,2026-02-22T02:09:14.373716Z,
no_outage_error_rate_0,100,100,0,0,204073,job-69,noop,completed,1,,2026-02-22T02:09:06.136517Z,2026-02-22T02:09:06.136517Z,2026-02-22T02:09:13.577378Z,2026-02-22T02:09:14.386668Z,
no_outage_error_rate_0,100,100,0,0,204074,job-70,noop,completed,1,,2026-02-22T02:09:06.140032Z,2026-02-22T02:09:06.140032Z,2026-02-22T02:09:13.578347Z,2026-02-22T02:09:14.385066Z,
no_outage_error_rate_0,100,100,0,0,204075,job-71,noop,completed,1,,2026-02-22T02:09:06.143721Z,2026-02-22T02:09:06.143721Z,2026-02-22T02:09:13.586616Z,2026-02-22T02:09:14.397253Z,
no_outage_error_rate_0,100,100,0,0,204076,job-72,noop,completed,1,,2026-02-22T02:09:06.15016Z,2026-02-22T02:09:06.15016Z,2026-02-22T02:09:13.598676Z,2026-02-22T02:09:14.404999Z,
no_outage_error_rate_0,100,100,0,0,204077,job-73,noop,completed,1,,2026-02-22T02:09:06.15279Z,2026-02-22T02:09:06.15279Z,2026-02-22T02:09:13.6041Z,2026-02-22T02:09:14.41253Z,
no_outage_error_rate_0,100,100,0,0,204078,job-74,noop,completed,1,,2026-02-22T02:09:06.155511Z,2026-02-22T02:09:06.155511Z,2026-02-22T02:09:13.60476Z,2026-02-22T02:09:14.417059Z,
no_outage_error_rate_0,100,100,0,0,204079,job-75,noop,completed,1,,2026-02-22T02:09:06.15807Z,2026-02-22T02:09:06.15807Z,2026-02-22T02:09:14.379326Z,2026-02-22T02:09:15.189363Z,
no_outage_error_rate_0,100,100,0,0,204080,job-76,noop,completed,1,,2026-02-22T02:09:06.161338Z,2026-02-22T02:09:06.161338Z,2026-02-22T02:09:14.380347Z,2026-02-22T02:09:15.188448Z,
no_outage_error_rate_0,100,100,0,0,204081,job-77,noop,completed,1,,2026-02-22T02:09:06.164339Z,2026-02-22T02:09:06.164339Z,2026-02-22T02:09:14.39019Z,2026-02-22T02:09:15.20005Z,
no_outage_error_rate_0,100,100,0,0,204082,job-78,noop,completed,1,,2026-02-22T02:09:06.167355Z,2026-02-22T02:09:06.167355Z,2026-02-22T02:09:14.395239Z,2026-02-22T02:09:15.203017Z,
no_outage_error_rate_0,100,100,0,0,204083,job-79,noop,completed,1,,2026-02-22T02:09:06.171027Z,2026-02-22T02:09:06.171027Z,2026-02-22T02:09:14.402837Z,2026-02-22T02:09:15.211274Z,
no_outage_error_rate_0,100,100,0,0,204084,job-80,noop,completed,1,,2026-02-22T02:09:06.1744Z,2026-02-22T02:09:06.1744Z,2026-02-22T02:09:14.410336Z,2026-02-22T02:09:15.220571Z,
no_outage_error_rate_0,100,100,0,0,204085,job-81,noop,completed,1,,2026-02-22T02:09:06.177865Z,2026-02-22T02:09:06.177865Z,2026-02-22T02:09:14.419243Z,2026-02-22T02:09:15.227041Z,
no_outage_error_rate_0,100,100,0,0,204086,job-82,noop,completed,1,,2026-02-22T02:09:06.181429Z,2026-02-22T02:09:06.181429Z,2026-02-22T02:09:14.423023Z,2026-02-22T02:09:15.229626Z,
no_outage_error_rate_0,100,100,0,0,204087,job-83,noop,completed,1,,2026-02-22T02:09:06.187904Z,2026-02-22T02:09:06.187904Z,2026-02-22T02:09:15.194254Z,2026-02-22T02:09:16.002163Z,
no_outage_error_rate_0,100,100,0,0,204088,job-84,noop,completed,1,,2026-02-22T02:09:06.190389Z,2026-02-22T02:09:06.190389Z,2026-02-22T02:09:15.196733Z,2026-02-22T02:09:16.005237Z,
no_outage_error_rate_0,100,100,0,0,204089,job-85,noop,completed,1,,2026-02-22T02:09:06.192858Z,2026-02-22T02:09:06.192858Z,2026-02-22T02:09:15.209563Z,2026-02-22T02:09:16.018339Z,
no_outage_error_rate_0,100,100,0,0,204090,job-86,noop,completed,1,,2026-02-22T02:09:06.195431Z,2026-02-22T02:09:06.195431Z,2026-02-22T02:09:15.214594Z,2026-02-22T02:09:16.022613Z,
no_outage_error_rate_0,100,100,0,0,204091,job-87,noop,completed,1,,2026-02-22T02:09:06.198445Z,2026-02-22T02:09:06.198445Z,2026-02-22T02:09:15.217772Z,2026-02-22T02:09:16.026684Z,
no_outage_error_rate_0,100,100,0,0,204092,job-88,noop,completed,1,,2026-02-22T02:09:06.20135Z,2026-02-22T02:09:06.20135Z,2026-02-22T02:09:15.224882Z,2026-02-22T02:09:16.03452Z,
no_outage_error_rate_0,100,100,0,0,204093,job-89,noop,completed,1,,2026-02-22T02:09:06.204258Z,2026-02-22T02:09:06.204258Z,2026-02-22T02:09:15.231793Z,2026-02-22T02:09:16.044169Z,
no_outage_error_rate_0,100,100,0,0,204094,job-90,noop,completed,1,,2026-02-22T02:09:06.207335Z,2026-02-22T02:09:06.207335Z,2026-02-22T02:09:15.234745Z,2026-02-22T02:09:16.045246Z,
no_outage_error_rate_0,100,100,0,0,204095,job-91,noop,completed,1,,2026-02-22T02:09:06.210947Z,2026-02-22T02:09:06.210947Z,2026-02-22T02:09:16.012669Z,2026-02-22T02:09:16.818263Z,
no_outage_error_rate_0,100,100,0,0,204096,job-92,noop,completed,1,,2026-02-22T02:09:06.214421Z,2026-02-22T02:09:06.214421Z,2026-02-22T02:09:16.014317Z,2026-02-22T02:09:16.819472Z,
no_outage_error_rate_0,100,100,0,0,204097,job-93,noop,completed,1,,2026-02-22T02:09:06.218141Z,2026-02-22T02:09:06.218141Z,2026-02-22T02:09:16.026162Z,2026-02-22T02:09:16.832467Z,
no_outage_error_rate_0,100,100,0,0,204098,job-94,noop,completed,1,,2026-02-22T02:09:06.224611Z,2026-02-22T02:09:06.224611Z,2026-02-22T02:09:16.029799Z,2026-02-22T02:09:16.834721Z,
no_outage_error_rate_0,100,100,0,0,204099,job-95,noop,completed,1,,2026-02-22T02:09:06.227308Z,2026-02-22T02:09:06.227308Z,2026-02-22T02:09:16.033545Z,2026-02-22T02:09:16.840114Z,
no_outage_error_rate_0,100,100,0,0,204100,job-96,noop,completed,1,,2026-02-22T02:09:06.230016Z,2026-02-22T02:09:06.230016Z,2026-02-22T02:09:16.040744Z,2026-02-22T02:09:16.847208Z,
no_outage_error_rate_0,100,100,0,0,204101,job-97,noop,completed,1,,2026-02-22T02:09:06.232508Z,2026-02-22T02:09:06.232508Z,2026-02-22T02:09:16.052577Z,2026-02-22T02:09:16.857457Z,
no_outage_error_rate_0,100,100,0,0,204102,job-98,noop,completed,1,,2026-02-22T02:09:06.235833Z,2026-02-22T02:09:06.235833Z,2026-02-22T02:09:16.053809Z,2026-02-22T02:09:16.859148Z,
no_outage_error_rate_0,100,100,0,0,204103,job-99,noop,completed,1,,2026-02-22T02:09:06.239017Z,2026-02-22T02:09:06.239017Z,2026-02-22T02:09:16.821854Z,2026-02-22T02:09:17.625706Z,
